epoch,phase,loss,accuracy,false_positive_rate,false_negative_rate,lr
1,train,0.6669859737157822,0.6184210526315789,0.011071744906997343,0.983453237410072,0.0001
1,val,0.6667264119869263,0.6193029490616622,0.008733624454148471,0.9722222222222222,0.0001
2,train,0.6531167302215308,0.6329495614035088,0.03100088573959256,0.9129496402877698,0.0001
2,val,0.660961253713347,0.6273458445040214,0.03056768558951965,0.9166666666666666,0.0001
3,train,0.647634300223568,0.6365131578947368,0.07263064658990256,0.8359712230215828,0.0001
3,val,0.6586100244969529,0.6394101876675603,0.04585152838427948,0.8611111111111112,0.0001
4,train,0.6463727467415625,0.647203947368421,0.08281665190434012,0.7913669064748201,0.0001
4,val,0.6568497746943149,0.6380697050938338,0.07423580786026202,0.8194444444444444,0.0001
5,train,0.6413732061260625,0.6461074561403508,0.08901682905225863,0.7841726618705036,0.0001
5,val,0.6557893685936608,0.6447721179624665,0.10480349344978165,0.7534722222222222,0.0001
6,train,0.6406209940711657,0.6485745614035088,0.09743135518157661,0.7640287769784173,0.0001
6,val,0.6591550193267597,0.6380697050938338,0.12445414847161572,0.7395833333333334,0.0001
7,train,0.6356624512557398,0.6598135964912281,0.11027457927369354,0.7136690647482015,0.0001
7,val,0.6560424925814365,0.6501340482573726,0.05021834061135371,0.8263888888888888,0.0001
8,train,0.6320175052734843,0.6584429824561403,0.09610274579273693,0.7402877697841727,0.0001
8,val,0.6519641152335875,0.6474530831099196,0.08078602620087336,0.7847222222222222,0.0001
9,train,0.633347994925683,0.6581688596491228,0.11647475642161205,0.7079136690647482,0.0001
9,val,0.6504300019376719,0.6434316353887399,0.11135371179039301,0.7465277777777778,0.0001
10,train,0.6296617882816415,0.6644736842105263,0.10717449069973428,0.7064748201438849,0.0001
10,val,0.6565270727505313,0.6394101876675603,0.06550218340611354,0.8298611111111112,0.0001
11,train,0.632880701046241,0.6688596491228069,0.1054030115146147,0.697841726618705,0.0001
11,val,0.6524608096871874,0.6447721179624665,0.10698689956331878,0.75,0.0001
12,train,0.6266346197379263,0.6737938596491228,0.11027457927369354,0.676978417266187,0.0001
12,val,0.6529957084809168,0.6434316353887399,0.09606986899563319,0.7708333333333334,0.0001
13,train,0.6307042986154556,0.6685855263157895,0.10628875110717449,0.6971223021582734,0.0001
13,val,0.6533560532347447,0.646112600536193,0.07423580786026202,0.7986111111111112,0.0001
14,train,0.6252186714034331,0.6713267543859649,0.10053144375553587,0.6992805755395683,5e-05
14,val,0.6530667072007228,0.6474530831099196,0.07205240174672489,0.7986111111111112,5e-05
15,train,0.6277029258117341,0.6636513157894737,0.11381753764393268,0.697841726618705,5e-05
