epoch,phase,loss,accuracy,false_positive_rate,false_negative_rate,lr
1,train,0.6836203481805952,0.5953947368421052,0.112488928255093,0.879136690647482,0.0001
1,val,0.670452950786969,0.613941018766756,0.0,1.0,0.0001
2,train,0.6613151870275799,0.6239035087719298,0.08015943312666077,0.8568345323741007,0.0001
2,val,0.6644169042640973,0.6246648793565683,0.13100436681222707,0.7638888888888888,0.0001
3,train,0.6488180329140864,0.6450109649122807,0.13197519929140833,0.7172661870503597,0.0001
3,val,0.6590286042671102,0.6233243967828418,0.03711790393013101,0.9166666666666666,0.0001
4,train,0.6336629369802642,0.6702302631578947,0.15101860053144375,0.6201438848920864,0.0001
4,val,0.6704392308524083,0.6219839142091153,0.006550218340611353,0.96875,0.0001
5,train,0.6340036997408197,0.6754385964912281,0.14570416297608504,0.6151079136690647,0.0001
5,val,0.7169994061498156,0.613941018766756,0.0,1.0,0.0001
6,train,0.6243299652348485,0.6820175438596491,0.15987599645704162,0.5748201438848921,0.0001
6,val,0.6620767263560768,0.6340482573726541,0.26419213973799127,0.5277777777777778,0.0001
7,train,0.6207166946770852,0.6779057017543859,0.19840566873339238,0.5230215827338129,0.0001
7,val,0.6641197177424188,0.628686327077748,0.20305676855895197,0.6388888888888888,0.0001
8,train,0.6027556338854003,0.7091557017543859,0.17980513728963685,0.4712230215827338,5e-05
8,val,0.6466482300860632,0.6353887399463807,0.31222707423580787,0.4479166666666667,5e-05
9,train,0.5912709413913259,0.7165570175438596,0.183348095659876,0.4460431654676259,5e-05
9,val,0.6775159533797256,0.6434316353887399,0.11790393013100436,0.7361111111111112,5e-05
10,train,0.5795777109369897,0.7360197368421052,0.1696191319751993,0.4172661870503597,5e-05
10,val,0.6305805706786086,0.6554959785522788,0.1462882096069869,0.6597222222222222,5e-05
11,train,0.5758450700525652,0.7341008771929824,0.17891939769707707,0.4071942446043165,5e-05
11,val,0.6395892611137983,0.6621983914209115,0.1462882096069869,0.6423611111111112,5e-05
12,train,0.5639691513619924,0.7382127192982456,0.1678476527900797,0.4143884892086331,5e-05
12,val,0.6228212247585164,0.6863270777479893,0.18777292576419213,0.5138888888888888,5e-05
13,train,0.5598514142789339,0.75,0.16430469441984058,0.38920863309352516,5e-05
13,val,0.6169311364278717,0.6823056300268097,0.1615720524017467,0.5659722222222222,5e-05
14,train,0.5466453907521147,0.7675438596491228,0.15234720992028344,0.36258992805755397,5e-05
14,val,0.6544718241403953,0.6823056300268097,0.2554585152838428,0.4166666666666667,5e-05
15,train,0.5336032304586026,0.7743969298245613,0.15101860053144375,0.34676258992805753,5e-05
15,val,0.6755843605177012,0.6957104557640751,0.07205240174672489,0.6736111111111112,5e-05
16,train,0.53144811146092,0.7683662280701754,0.15987599645704162,0.34820143884892085,5e-05
16,val,0.6411608749995602,0.6890080428954424,0.25109170305676853,0.40625,5e-05
17,train,0.5151175672286435,0.787828947368421,0.15013286093888398,0.3129496402877698,5e-05
17,val,0.6708319067315826,0.6943699731903485,0.16375545851528384,0.53125,5e-05
18,train,0.48589864817627687,0.8026315789473684,0.13817537643932684,0.2935251798561151,2.5e-05
18,val,0.7346686211092542,0.7010723860589813,0.14847161572052403,0.5381944444444444,2.5e-05
19,train,0.4751401591980666,0.8135964912280701,0.1262178919397697,0.2841726618705036,2.5e-05
19,val,0.7560585575832438,0.6863270777479893,0.16375545851528384,0.5520833333333334,2.5e-05
20,train,0.46261252841928546,0.8229166666666666,0.11647475642161205,0.2755395683453237,2.5e-05
20,val,0.7283235296167573,0.6983914209115282,0.1462882096069869,0.5486111111111112,2.5e-05
21,train,0.44622893056325746,0.8330592105263157,0.11691762621789194,0.24820143884892087,2.5e-05
21,val,0.7146525589134993,0.7184986595174263,0.11353711790393013,0.5486111111111112,2.5e-05
22,train,0.4250199799997765,0.8511513157894737,0.11071744906997343,0.21079136690647482,1.25e-05
22,val,0.7787330551697166,0.707774798927614,0.11572052401746726,0.5729166666666666,1.25e-05
23,train,0.41677328911528255,0.8549890350877193,0.0983170947741364,0.220863309352518,1.25e-05
23,val,0.7280576714881304,0.7184986595174263,0.13537117903930132,0.5138888888888888,1.25e-05
