epoch,phase,loss,accuracy,false_positive_rate,false_negative_rate,lr
1,train,0.6672941363955799,0.6195175438596491,0.12798937112488928,0.7906474820143885,0.0001
1,val,0.6743265043634512,0.613941018766756,0.0,1.0,0.0001
2,train,0.6483459687023833,0.6428179824561403,0.1563330380868025,0.6834532374100719,0.0001
2,val,0.6971312435318893,0.5536193029490617,0.5065502183406113,0.3506944444444444,0.0001
3,train,0.6467507363934266,0.6403508771929824,0.1966341895482728,0.6244604316546762,0.0001
3,val,0.6576202844167203,0.6380697050938338,0.15502183406113537,0.6909722222222222,0.0001
4,train,0.6288574911784708,0.6768092105263157,0.17980513728963685,0.556115107913669,0.0001
4,val,0.6680310443642952,0.6353887399463807,0.13537117903930132,0.7291666666666666,0.0001
5,train,0.6261324426322653,0.674890350877193,0.1837909654561559,0.5546762589928057,0.0001
5,val,0.6873344208535815,0.5924932975871314,0.45414847161572053,0.3333333333333333,0.0001
6,train,0.6207817250437904,0.6828399122807017,0.19929140832595216,0.5086330935251798,0.0001
6,val,0.6508884957264959,0.6273458445040214,0.19868995633187772,0.6493055555555556,0.0001
7,train,0.6267293460274997,0.6724232456140351,0.20283436669619131,0.5302158273381294,0.0001
7,val,0.6701736609993287,0.6152815013404825,0.27510917030567683,0.5590277777777778,0.0001
8,train,0.6173153069981357,0.6891447368421052,0.1758193091231178,0.5302158273381294,0.0001
8,val,0.6546375467054966,0.6327077747989276,0.2074235807860262,0.6215277777777778,0.0001
9,train,0.610687415589366,0.7039473684210525,0.17493356953055803,0.49280575539568344,0.0001
9,val,0.6668645447125064,0.6501340482573726,0.04148471615720524,0.8402777777777778,0.0001
10,train,0.615833241035018,0.6949013157894737,0.1629760850310009,0.5359712230215827,0.0001
10,val,0.6530155839932827,0.6689008042895442,0.1331877729257642,0.6458333333333334,0.0001
11,train,0.5860462826594972,0.7277960526315789,0.17360496014171833,0.43237410071942445,5e-05
11,val,0.6544519343261105,0.6434316353887399,0.2685589519650655,0.4965277777777778,5e-05
12,train,0.5771144070384795,0.734375,0.16607617360496013,0.4273381294964029,5e-05
12,val,0.6443925533473651,0.6541554959785523,0.2096069868995633,0.5625,5e-05
13,train,0.5698263782419657,0.7354714912280701,0.16474756421612047,0.4266187050359712,5e-05
13,val,0.6753772915847819,0.631367292225201,0.3034934497816594,0.4722222222222222,5e-05
14,train,0.5700390538886974,0.7387609649122807,0.183348095659876,0.3877697841726619,5e-05
14,val,0.6648626538447976,0.6447721179624665,0.24890829694323144,0.5243055555555556,5e-05
15,train,0.5620619828502337,0.7516447368421052,0.14968999114260406,0.40863309352517985,5e-05
15,val,0.6369929666813193,0.6729222520107239,0.2183406113537118,0.5,5e-05
16,train,0.5559331766868892,0.7497258771929824,0.16386182462356066,0.3906474820143885,5e-05
16,val,0.7008159818981672,0.646112600536193,0.21397379912663755,0.5763888888888888,5e-05
17,train,0.5481622109287664,0.759594298245614,0.15677590788308238,0.3762589928057554,5e-05
17,val,0.7841319269213536,0.660857908847185,0.07423580786026202,0.7604166666666666,5e-05
18,train,0.5465250108064267,0.756578947368421,0.15987599645704162,0.379136690647482,5e-05
18,val,0.7002055334980941,0.67828418230563,0.14192139737991266,0.6076388888888888,5e-05
19,train,0.5337090102726953,0.7697368421052632,0.1408325952170062,0.37553956834532376,5e-05
19,val,0.6525492818361952,0.6675603217158177,0.23799126637554585,0.4826388888888889,5e-05
20,train,0.5065800108407673,0.7935855263157894,0.13330380868024802,0.3251798561151079,2.5e-05
20,val,0.6909978284273327,0.6715817694369973,0.2576419213973799,0.4409722222222222,2.5e-05
21,train,0.49429269304923845,0.8015350877192982,0.13596102745792737,0.3,2.5e-05
21,val,0.7347928269618957,0.6957104557640751,0.1462882096069869,0.5555555555555556,2.5e-05
22,train,0.489216707123999,0.8105811403508771,0.12311780336581045,0.2971223021582734,2.5e-05
22,val,0.6967221134149997,0.6970509383378016,0.17248908296943233,0.5104166666666666,2.5e-05
23,train,0.48109364431155355,0.8083881578947368,0.12488928255093003,0.3,2.5e-05
23,val,0.736209841260322,0.6689008042895442,0.2292576419213974,0.4930555555555556,2.5e-05
24,train,0.46498307232794006,0.8264802631578947,0.11514614703277236,0.26834532374100717,1.25e-05
24,val,0.6845966898723838,0.7131367292225201,0.13973799126637554,0.5208333333333334,1.25e-05
25,train,0.43993608928040456,0.8418311403508771,0.10230292294065545,0.2489208633093525,1.25e-05
25,val,0.7194911088125315,0.7184986595174263,0.13973799126637554,0.5069444444444444,1.25e-05
