epoch,phase,loss,accuracy,false_positive_rate,false_negative_rate,lr
1,train,0.6704371414686504,0.6170504385964912,0.11514614703277236,0.8179856115107914,0.0001
1,val,0.7487985357522325,0.613941018766756,0.0,1.0,0.0001
2,train,0.6583739470755845,0.6282894736842105,0.10673162090345438,0.802158273381295,0.0001
2,val,0.6738085711609583,0.6206434316353887,0.0611353711790393,0.8854166666666666,0.0001
3,train,0.64476650626513,0.6488486842105263,0.13108945969884853,0.7086330935251799,0.0001
3,val,0.6659218342949813,0.613941018766756,0.002183406113537118,0.9965277777777778,0.0001
4,train,0.6411953020775527,0.6469298245614035,0.15411868910540302,0.6762589928057554,0.0001
4,val,0.658252258083456,0.6233243967828418,0.3056768558951965,0.4895833333333333,0.0001
5,train,0.6315996227295775,0.6639254385964912,0.1629760850310009,0.6172661870503597,0.0001
5,val,0.7017250303928079,0.6474530831099196,0.17903930131004367,0.6284722222222222,0.0001
6,train,0.6210247489966845,0.681469298245614,0.1762621789193977,0.5496402877697841,0.0001
6,val,0.7087142918129069,0.6501340482573726,0.11135371179039301,0.7291666666666666,0.0001
7,train,0.6201148706308582,0.6831140350877193,0.17183348095659876,0.5525179856115108,0.0001
7,val,0.6580352048132438,0.6595174262734584,0.0851528384279476,0.7465277777777778,0.0001
8,train,0.6098152571602872,0.6987390350877193,0.1682905225863596,0.5172661870503598,0.0001
8,val,0.6940841505418833,0.6367292225201072,0.028384279475982533,0.8958333333333334,0.0001
9,train,0.6154205635712858,0.6872258771929824,0.16651904340124005,0.5503597122302158,0.0001
9,val,0.6620126182847624,0.6179624664879356,0.3384279475982533,0.4513888888888889,0.0001
10,train,0.602955775564177,0.7039473684210525,0.1771479185119575,0.4892086330935252,0.0001
10,val,0.6392739225009172,0.6568364611260054,0.09388646288209607,0.7395833333333334,0.0001
11,train,0.5963759045851859,0.7160087719298245,0.17891939769707707,0.4546762589928058,0.0001
11,val,0.6577984900001547,0.6648793565683646,0.06550218340611354,0.7638888888888888,0.0001
12,train,0.5855102182218903,0.7272478070175438,0.1682905225863596,0.44244604316546765,0.0001
12,val,0.6357476629776226,0.6648793565683646,0.1572052401746725,0.6180555555555556,0.0001
13,train,0.5846912034770899,0.7239583333333333,0.17316209034543845,0.44316546762589926,0.0001
13,val,0.6442207169916291,0.660857908847185,0.15283842794759825,0.6354166666666666,0.0001
14,train,0.5802440587104413,0.728344298245614,0.17139061116031887,0.43453237410071943,0.0001
14,val,0.657930237518239,0.6447721179624665,0.0982532751091703,0.7638888888888888,0.0001
15,train,0.5784769041234987,0.7288925438596491,0.1771479185119575,0.4237410071942446,0.0001
15,val,0.7510917281017866,0.6367292225201072,0.2052401746724891,0.6145833333333334,0.0001
16,train,0.5719796514563393,0.7360197368421052,0.1753764393268379,0.4079136690647482,0.0001
16,val,0.6232519864876213,0.675603217158177,0.2794759825327511,0.3958333333333333,0.0001
17,train,0.5657841713543523,0.7365679824561403,0.16651904340124005,0.420863309352518,0.0001
17,val,0.6198839535662061,0.6849865951742627,0.2096069868995633,0.4826388888888889,0.0001
18,train,0.5551862928428148,0.7532894736842105,0.1488042515500443,0.40575539568345326,0.0001
18,val,0.6297983627057268,0.6675603217158177,0.2096069868995633,0.5277777777777778,0.0001
19,train,0.5514206271945384,0.7478070175438596,0.15899025686448184,0.4035971223021583,0.0001
19,val,0.6456701360822683,0.6662198391420912,0.2183406113537118,0.5173611111111112,0.0001
20,train,0.5528611791761298,0.7552083333333333,0.15987599645704162,0.38273381294964026,0.0001
20,val,0.6672712836124942,0.6675603217158177,0.25327510917030566,0.4583333333333333,0.0001
21,train,0.5498563811967248,0.7604166666666666,0.15987599645704162,0.36906474820143886,0.0001
21,val,0.6486684301263845,0.6702412868632708,0.2816593886462882,0.40625,0.0001
22,train,0.5069368596662555,0.7922149122807017,0.13817537643932684,0.320863309352518,5e-05
22,val,0.6524222796787845,0.710455764075067,0.12445414847161572,0.5520833333333334,5e-05
23,train,0.49866310663913427,0.796875,0.13241806908768822,0.31798561151079136,5e-05
23,val,0.6924300751481555,0.6581769436997319,0.2794759825327511,0.4409722222222222,5e-05
24,train,0.48574916966128767,0.8078399122807017,0.12533215234720993,0.30071942446043165,5e-05
24,val,0.7435381060950558,0.6648793565683646,0.13100436681222707,0.6597222222222222,5e-05
25,train,0.48326609636607926,0.8086622807017544,0.12356067316209035,0.3014388489208633,5e-05
25,val,0.6793412567782977,0.6849865951742627,0.13973799126637554,0.59375,5e-05
