feature,mean_class0,std_class0,mean_class1,std_class1,normality_p_class0,normality_p_class1,t_pvalue,mw_pvalue,cohens_d,t_p_adj,mw_p_adj,t_significant,mw_significant
19,4.089454594302735e-15,1.0003599064359776,1.142604529510057e-14,1.0017406453556201,4.289093027642188e-61,2.851086888599457e-32,0.9999999999999097,1.358361479129118e-257,-7.332217173910957e-15,0.9999999999999996,2.716722958258236e-256,False,True
17,3.9105409558019903e-16,1.0003599064359852,-2.4671622769447924e-16,1.0017406453556188,2.3272258462055576e-43,8.847961285537915e-21,0.9999999999999921,0.0003278989332066681,6.373901322881183e-16,0.9999999999999996,0.003278989332066681,False,True
18,1.911053250100097e-14,1.0003599064359803,-9.3443771239284e-16,1.0017406453556197,5.2827753771131365e-42,3.971645064901828e-19,0.9999999999997535,0.000970281135958322,2.003302090072931e-14,0.9999999999999996,0.006468540906388814,False,True
14,1.3367404705127066e-15,1.0003599064359818,-2.9605947323337506e-16,1.0017406453556188,2.2373743893771313e-53,1.353712459342596e-31,0.9999999999999799,0.001306762944585705,1.6318265904889442e-15,0.9999999999999996,0.006533814722928524,False,True
5,3.322681857870972e-17,1.0003599064359816,-1.356939252319636e-16,1.001740645355619,5.409905166092014e-47,4.367744202949737e-20,0.9999999999999979,0.007642638279774893,1.6882004589185238e-16,0.9999999999999996,0.03057055311909957,False,True
13,3.578272770014893e-17,1.0003599064359836,-1.2335811384723961e-17,1.0017406453556177,5.417558598402966e-53,2.024228319068805e-23,0.9999999999999994,0.043540672073992766,4.808985440924778e-17,0.9999999999999996,0.1451355735799759,False,False
6,1.0587853535561925e-15,1.0003599064359816,3.700743415417188e-17,1.0017406453556184,2.3877936800499916e-49,1.942817826041008e-21,0.9999999999999875,0.09402162904369034,1.0211688117953417e-15,0.9999999999999996,0.26863322583911525,False,False
8,6.313095529954847e-16,1.0003599064359825,-8.542549383921344e-16,1.0017406453556184,5.123671160034496e-44,1.9166962121007904e-20,0.9999999999999817,0.2379849812872752,1.4846789088997464e-15,0.9999999999999996,0.594962453218188,False,False
15,9.456863749325074e-17,1.0003599064359816,-3.700743415417188e-17,1.0017406453556184,5.030217474250747e-42,1.2050185104821913e-15,0.9999999999999983,0.3040839228346107,1.314976358302303e-16,0.9999999999999996,0.6757420507435794,False,False
1,2.1546313893732534e-15,1.0003599064359816,8.079956456994195e-16,1.0017406453556186,6.543867340302149e-22,1.3397484028525074e-13,0.9999999999999835,0.5093389105578016,1.3458329801189339e-15,0.9999999999999996,0.9448790561565824,False,False
3,2.220573844706385e-14,1.0003599064359827,1.0442264337168834e-14,1.0017406453556186,0.0045435735007591516,0.017507320325628288,0.9999999999998553,0.5196834808861204,1.1756461606076659e-14,0.9999999999999996,0.9448790561565824,False,False
9,1.4629512629293745e-13,1.0003599064359827,2.5237528116722136e-14,1.0017406453556188,1.648162016129819e-42,5.401190514660567e-23,0.9999999999985112,0.6417971939618246,1.2098543268653755e-13,0.9999999999999996,0.9621305726679326,False,False
2,1.354376243450637e-14,1.000359906435983,-8.386809765189204e-15,1.0017406453556188,1.4286699888798105e-14,0.08287888553333268,0.9999999999997303,0.6734914008675528,2.1917498832095795e-14,0.9999999999999996,0.9621305726679326,False,False
10,-2.356548209966951e-15,1.0003599064359823,5.76082391666609e-15,1.0017406453556184,1.1101932159278447e-10,0.020507726346766366,0.9999999999999002,0.5998285747971357,-8.112533156231844e-15,0.9999999999999996,0.9621305726679326,False,False
7,2.6581454862967777e-15,1.0003599064359827,1.7270135938613546e-16,1.0017406453556188,1.961921547819924e-10,0.0016522590427721835,0.9999999999999695,0.8734023935979355,2.4839624909358058e-15,0.9999999999999996,0.9654155877455014,False,False
0,-3.087538218698565e-15,1.0003599064359816,6.59965909082732e-16,1.0017406453556184,4.594568520600496e-17,1.8365523498199217e-08,0.9999999999999539,0.7643528439085889,-3.745270145986478e-15,0.9999999999999996,0.9654155877455014,False,False
12,2.5559091214392094e-17,1.0003599064359816,-9.25185853854297e-18,1.001740645355619,5.31782005686049e-32,8.506747728898998e-09,0.9999999999999996,0.9555129376179543,3.479019806718455e-17,0.9999999999999996,0.9654155877455014,False,False
11,2.5559091214392094e-18,1.000359906435982,-2.0970879354030734e-16,1.0017406453556184,0.10242433311707094,0.4878614686964884,0.9999999999999973,0.8184903052507573,2.1213816631508481e-16,0.9999999999999996,0.9654155877455014,False,False
4,3.29712276665658e-16,1.0003599064359823,1.851913684131685e-15,1.0017406453556181,3.6878731558424637e-16,2.2015216396782958e-06,0.9999999999999812,0.8675110585273472,-1.5212939847877915e-15,0.9999999999999996,0.9654155877455014,False,False
16,-4.984022786806458e-17,1.0003599064359827,-6.753856733136369e-16,1.0017406453556188,4.869960908601536e-37,4.2494852667209926e-18,0.9999999999999923,0.9654155877455014,6.251725420172345e-16,0.9999999999999996,0.9654155877455014,False,False
